Image,IOULG,IOULD,IOUDG,threshold_DT,threshold_GC,prediction,models
0.png,0.07208533333333333,0.07208533333333333,1.0,0,0,pier,Vgg
0.png,0.13124638638803998,0.07208533333333333,0.2931413333333333,0,0.1,pier,Vgg
0.png,0.14433506174695024,0.07208533333333333,0.17155733333333334,0,0.2,pier,Vgg
0.png,0.11347076594988449,0.07208533333333333,0.12841066666666667,0,0.3,pier,Vgg
0.png,0.08164500623108421,0.07208533333333333,0.08993066666666667,0,0.4,pier,Vgg
0.png,0.07227124941941478,0.07208533333333333,0.05104,0,0.5,pier,Vgg
0.png,0.060660597078128306,0.07208533333333333,0.034784,0,0.6,pier,Vgg
0.png,0.05347343841214244,0.07208533333333333,0.02416,0,0.7,pier,Vgg
0.png,0.043436106263331394,0.07208533333333333,0.014010666666666666,0,0.8,pier,Vgg
0.png,0.01430898916200326,0.07208533333333333,0.004282666666666666,0,0.9,pier,Vgg
0.png,0.0,0.07208533333333333,0.0,0,1,pier,Vgg
0.png,0.07208533333333333,0.09303445558425638,0.0,0.1,0,pier,Vgg
0.png,0.13124638638803998,0.09303445558425638,0.0,0.1,0.1,pier,Vgg
0.png,0.14433506174695024,0.09303445558425638,0.0,0.1,0.2,pier,Vgg
0.png,0.11347076594988449,0.09303445558425638,0.0,0.1,0.3,pier,Vgg
0.png,0.08164500623108421,0.09303445558425638,0.0,0.1,0.4,pier,Vgg
0.png,0.07227124941941478,0.09303445558425638,0.0,0.1,0.5,pier,Vgg
0.png,0.060660597078128306,0.09303445558425638,0.0,0.1,0.6,pier,Vgg
0.png,0.05347343841214244,0.09303445558425638,0.0,0.1,0.7,pier,Vgg
0.png,0.043436106263331394,0.09303445558425638,0.0,0.1,0.8,pier,Vgg
0.png,0.01430898916200326,0.09303445558425638,0.0,0.1,0.9,pier,Vgg
0.png,0.0,0.09303445558425638,0.0,0.1,1,pier,Vgg
0.png,0.07208533333333333,0.03513426075703656,0.0,0.2,0,pier,Vgg
0.png,0.13124638638803998,0.03513426075703656,0.0,0.2,0.1,pier,Vgg
0.png,0.14433506174695024,0.03513426075703656,0.0,0.2,0.2,pier,Vgg
0.png,0.11347076594988449,0.03513426075703656,0.0,0.2,0.3,pier,Vgg
0.png,0.08164500623108421,0.03513426075703656,0.0,0.2,0.4,pier,Vgg
0.png,0.07227124941941478,0.03513426075703656,0.0,0.2,0.5,pier,Vgg
0.png,0.060660597078128306,0.03513426075703656,0.0,0.2,0.6,pier,Vgg
0.png,0.05347343841214244,0.03513426075703656,0.0,0.2,0.7,pier,Vgg
0.png,0.043436106263331394,0.03513426075703656,0.0,0.2,0.8,pier,Vgg
0.png,0.01430898916200326,0.03513426075703656,0.0,0.2,0.9,pier,Vgg
0.png,0.0,0.03513426075703656,0.0,0.2,1,pier,Vgg
0.png,0.07208533333333333,0.011581355447526451,0.0,0.3,0,pier,Vgg
0.png,0.13124638638803998,0.011581355447526451,0.0,0.3,0.1,pier,Vgg
0.png,0.14433506174695024,0.011581355447526451,0.0,0.3,0.2,pier,Vgg
0.png,0.11347076594988449,0.011581355447526451,0.0,0.3,0.3,pier,Vgg
0.png,0.08164500623108421,0.011581355447526451,0.0,0.3,0.4,pier,Vgg
0.png,0.07227124941941478,0.011581355447526451,0.0,0.3,0.5,pier,Vgg
0.png,0.060660597078128306,0.011581355447526451,0.0,0.3,0.6,pier,Vgg
0.png,0.05347343841214244,0.011581355447526451,0.0,0.3,0.7,pier,Vgg
0.png,0.043436106263331394,0.011581355447526451,0.0,0.3,0.8,pier,Vgg
0.png,0.01430898916200326,0.011581355447526451,0.0,0.3,0.9,pier,Vgg
0.png,0.0,0.011581355447526451,0.0,0.3,1,pier,Vgg
0.png,0.07208533333333333,0.0014672437825544713,0.0,0.4,0,pier,Vgg
0.png,0.13124638638803998,0.0014672437825544713,0.0,0.4,0.1,pier,Vgg
0.png,0.14433506174695024,0.0014672437825544713,0.0,0.4,0.2,pier,Vgg
0.png,0.11347076594988449,0.0014672437825544713,0.0,0.4,0.3,pier,Vgg
0.png,0.08164500623108421,0.0014672437825544713,0.0,0.4,0.4,pier,Vgg
0.png,0.07227124941941478,0.0014672437825544713,0.0,0.4,0.5,pier,Vgg
0.png,0.060660597078128306,0.0014672437825544713,0.0,0.4,0.6,pier,Vgg
0.png,0.05347343841214244,0.0014672437825544713,0.0,0.4,0.7,pier,Vgg
0.png,0.043436106263331394,0.0014672437825544713,0.0,0.4,0.8,pier,Vgg
0.png,0.01430898916200326,0.0014672437825544713,0.0,0.4,0.9,pier,Vgg
0.png,0.0,0.0014672437825544713,0.0,0.4,1,pier,Vgg
0.png,0.07208533333333333,7.382253063635022e-05,0.0,0.5,0,pier,Vgg
0.png,0.13124638638803998,7.382253063635022e-05,0.0,0.5,0.1,pier,Vgg
0.png,0.14433506174695024,7.382253063635022e-05,0.0,0.5,0.2,pier,Vgg
0.png,0.11347076594988449,7.382253063635022e-05,0.0,0.5,0.3,pier,Vgg
0.png,0.08164500623108421,7.382253063635022e-05,0.0,0.5,0.4,pier,Vgg
0.png,0.07227124941941478,7.382253063635022e-05,0.0,0.5,0.5,pier,Vgg
